Song Name ,Artist,Emotions,Anime,Ratings
HOWLING, abingdon boys school, Intense, Darker than Black, 8.74
MUKANJYO, Survive Said The Prophet, Intense, Vinland Saga, 9.92
Dark Crow, MAN WITH A MISSION, Motivated, Vinland Saga, 8.03
Torches, Aimer, Sad, Vinland Saga, 7.87
Drown, milet, Love, Vinland Saga, 8.21
River, Anonymouz, Happy, Vinland Saga, 7.10
Paradox, Survive Said The Prophet, Intense, Vinland Saga, 9.67
Without Love, LMYK, Sad, Vinland Saga, 7.45
Ember, haju, Motivated, Vinland Saga, 8.98
Monochrome no Kiss, SID, Love, Black Butler, 8.56
I'm ALIVE!, BECCA, Motivated, Black Butler, 9.34
Lacrimosa, Kalafina, Sad, Black Butler, 7.73
SHIVER, the GazettE, Intense, Black Butler, 10.00
Bird, Matsushita Yuuya, Happy, Black Butler, 6.87
Kagayaku Sora no Shijima ni wa, Kalafina, Pain, Black Butler, 8.14
ENAMEL, SID, Intense, Black Butler, 9.21
Aoki Tsuki Michite, AKIRA, Sad, Black Butler, 7.62
The Parade of Battlers, otoha, Love, Black Butler, 8.79
Kusou Mythology, Yosei Teikoku, Intense, Mirai Nikki, 6.98
Red Liberation, fripSide, Happy, The Vexations of a Shut-In Vampire Princess, 7.23
unravel, TK from Ling Tosite Sigure, Intense, Tokyo Ghoul, 9.87
Seijatachi, People In The Box, Sad, Tokyo Ghoul, 7.34
Kisetsu wa Tsugitsugi Shindeiku, amazarashi, Pain, Tokyo Ghoul, 8.65
asphyxia, Cö shu Nie, Intense, Tokyo Ghoul, 8.09
katharsis, TK from Ling Tosite Sigure, Intense, Tokyo Ghoul, 9.53
HALF, Ziyoou-vachi, Motivated, Tokyo Ghoul, 7.81
Rakuen no Kimi, osterreich, Love, Tokyo Ghoul, 8.37
Guren no Yumiya, Linked Horizon, Intense, Attack On Titan, 9.99
Shinzou wo Sasageyo!, Linked Horizon, Motivated, Attack On Titan, 8.76
The Rumbling, SiM, Pain, Attack On Titan, 8.87
Demon's child, Ai Higuchi, Pain, Attack On Titan, 10.00
Wings of Freedom, Linked Horizon, Motivated, Attack on Titan, 10.00
Utsukushiki Zankoku na Sekai, Yoko Hikasa, Sad, Attack on Titan, 8.45
great escape,cinema staff, Intense, Attack on Titan, 8.76
Yuugure no Tori, Shinsei Kamattechan, Pain, Attack on Titan, 9.21
Red Swan, YOSHIKI ft. HYDE, Love, Attack on Titan, 8.34
Akatsuki no Chinkonka, Linked Horizon, Intense, Attack on Titan, 9.87
Name of Love, cinema staff, Love, Attack on Titan, 8.09
My war, Shinsei Kamattechan, Motivated, Attack on Titan, 8.63
Battle, Yuko Ando, Sad, Attack on Titan, 8.18
Strongest titan, Linked Horizon, Motivated, Attack on Titan, 7.92
UNDER THE TREE, SiM, Intense, Attack on Titan, 8.76
So long, Ai Higuchi, Happy, Attack on Titan, 8.01
R★O★C★K★S, HOUND DOG, Motivated, Naruto, 8.54
Far Away, ASIAN KUNG-FU GENERATION, Intense, Naruto, 7.67
Kanashimi wo Yasashisa ni, little by little, Sad, Naruto, 6.98
GO!!!, FLOW, Motivated, Naruto, 9.23
Seishun Kyosokyoku, Sambomaster, Happy, Naruto, 7.34
No Boy No Cry, Stance Punks, Sad, Naruto, 7.45
Namikaze Satellite, Snowkel, Love, Naruto, 8.76
Re:, FLOW, Motivated, Naruto, 8.89
Yura Yura, Hearts Grow, Pain, Naruto, 7.81
Wind, Akeboshi, Pain, Naruto, 8.10
Harmonia, RYTHEM, Happy, Naruto, 7.67
Viva Rock Japanese Side, Orange Range, Happy, Naruto, 8.45
ALIVE, Raiko, Motivated, Naruto, 7.98
Ima made Nando mo, the Mass Missile, Love, Naruto, 7.56
Meteor, Tia, Intense, Naruto, 8.34
Mountain A Go Go Too, Captain Straydum, Intense, Naruto, 7.76
Hajimete Kimi to Shabetta, GagagaSP, Happy, Naruto, 8.74
Nakushita Kotoba, No Regret Life, Sad, Naruto, 7.23
Speed, Analogfish, Motivated, Naruto, 8.09
Soba ni Iru Kara, Amadori, Happy, Naruto, 7.87
Parade, CHABA, Happy, Naruto, 7.65
Yellow Moon, Akeboshi, Pain, Naruto, 8.45
Pinocchio, Ore Ska Band, Happy, Naruto, 7.98
Scenario, SABOTEN, Motivated, Naruto, 8.31
Hero's Come Back!!, nobodyknows+, Motivated, Naruto: Shippuden, 9.67
distance, LONG SHOT PARTY, Happy, Naruto: Shippuden, 8.53
Blue Bird, Ikimono Gakari, Intense, Naruto: Shippuden, 8.76
Sign, FLOW, Motivated, Naruto: Shippuden, 10.00
Silhouette, KANA-BOON, Intense, Naruto: Shippuden, 10.00
Diver, NICO Touches the Walls, Motivated, Naruto: Shippuden, 9.21
Lovers, 7!!, Love, Naruto: Shippuden, 9.34
newsong, tacica, Happy, Naruto: Shippuden, 7.45
Moshimo, Daisuke, Sad, Naruto: Shippuden, 8.87
Niwaka Ame Nimo Makezu, NICO Touches the Walls, Intense, Naruto: Shippuden, 10.00
Tsuki no Ookisa, Nogizaka46, Intense, Naruto: Shippuden, 8.98
Guren, DOES, Intense, Naruto: Shippuden, 6.76
Wind, Yamazaru, Motivated, Naruto: Shippuden, 9.12
LINE, Sukima Switch, Sad, Naruto: Shippuden, 7.64
Blood Circulator, ASIAN KUNG-FU GENERATION, Pain, Naruto: Shippuden, 9.87
Kara no Kokoro, Anly, Happy, Naruto: Shippuden, 9.45
Shooting Star, HOME MADE Kazoku, Motivated, Naruto: Shippuden, 8.21
Michi ~to you all, aluto, Intense, Naruto: Shippuden, 8.76
Your Story, little by little, Sad, Naruto: Shippuden, 7.89
Mezamero! Yasei, MATCHY with QUESTION?, Intense, Naruto: Shippuden, 8.34
Sunao na Niji, surface, Sad, Naruto: Shippuden, 7.76
Broken Youth, Nico Touches the Walls, Intense, Naruto: Shippuden, 8.67
Long Kiss Goodbye, HALCALI, Love, Naruto: Shippuden, 8.65
BACCHIKOI!!!, DEV PARADE, Motivated, Naruto: Shippuden, 8.21
Shinkokyuu, SUPER BEAVER, Intense, Naruto: Shippuden, 8.43
My ANSWER, SEAMO, Motivated, Naruto: Shippuden, 8.76
It Was You, Kishidan, Intense, Naruto: Shippuden, 7.89
For You, AZU, Happy, Naruto: Shippuden, 7.54
